Competition,Stage,Round,Date,Kickoff (UTC),Home Team,Away Team,Score Home,Score Away,Odds Home,Odds Draw,Odds Away,Status
Super Liga - Relegation Group,Moldova,,2026-04-30,15:00,Stauceni,Floresti,,,,,,Scheduled
Eerste Divisie - Promotion,Netherlands,,2026-04-30,17:45,Waalwijk,Willem II,,,2.20,3.50,3.00,Scheduled
Divisie 1 U19 - Spring Season,Netherlands,,2026-04-30,12:00,Sparta Rotterdam U19,Feyenoord U19,,,4.01,4.20,1.63,Scheduled
Super Ligue,Niger,,2026-04-30,15:45,Douanes Niamey,liberte,,,,,,Scheduled
Super Ligue,Niger,,2026-04-30,15:45,Olympic Niamey,ASFAN,,,,,,Scheduled
Super Ligue,Niger,,2026-04-30,15:45,Tagour Provincial Club,ASGNN,,,,,,Scheduled
NPFL,Nigeria,,2026-04-30,16:00,Ikorodu City,Wikki Tourist,,,1.46,4.05,6.70,Scheduled
Professional League,Oman,,2026-04-30,16:10,Oman Club,Al-Samail,,,1.77,3.18,4.50,Scheduled
Emir Cup,Qatar,,2026-04-30,15:15,Al Wakra,Al-Gharafa,,,2.41,3.10,2.66,Scheduled
Emir Cup,Qatar,,2026-04-30,18:00,Al-Duhail,Al-Sadd,,,2.89,3.64,2.08,Scheduled
Liga 2 - Championship Group,Romania,,2026-04-30,15:30,FC Bihor,Chindia Targoviste,,,1.70,3.64,4.77,Scheduled
Premier League,Rwanda,,2026-04-30,14:00,Amagaju,Kiyovu,,,2.26,3.04,3.04,Scheduled
Premier League,Rwanda,,2026-04-30,14:00,Gasogi United,Gicumbi,,,2.17,2.88,3.42,Scheduled
Campionato Sammarinese - Play Offs,San Marino,,2026-04-30,19:45,Fiorentino,La Fiorita,,,12.60,5.20,1.21,Scheduled
Campionato Sammarinese - Play Offs,San Marino,,2026-04-30,19:45,Folgore,Domagnano,,,1.59,3.72,4.93,Scheduled
Saudi Professional League,Saudi Arabia,,2026-04-30,19:00,Al Khaleej,Al Hilal,,,8.50,5.25,1.22,Scheduled
Premiership - Relegation,Scotland,,2026-04-30,19:45,Dunfermline,Arbroath,,,2.15,3.40,3.30,Scheduled
Championship - Relegation,Scotland,,2026-04-30,19:45,Alloa,Airdrieonians,,,2.40,3.20,2.70,Scheduled
Championship - Relegation,Scotland,,2026-04-30,19:45,Queen of South,Stenhousemuir,,,2.55,3.30,2.55,Scheduled
League One - Relegation - Play Offs,Scotland,,2026-04-30,19:45,Clyde,Spartans,,,2.55,3.40,2.50,Scheduled
League One - Relegation - Play Offs,Scotland,,2026-04-30,19:45,Forfar Athletic,Hamilton,,,3.10,3.10,2.20,Scheduled
